branch_id,branch_name,manager_name,city,country
13e28f1e-1cf9-48f3-ba91-103a0af697b5,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,Charlotte,Canada
e1b56093-f001-4690-aa06-b98ee8a09899,Designed for everyday use with reliable performance and clean design.,"A customer favorite for comfort, performance, and long-term value.",Charlotte,India
3e1419ea-e119-4e4e-bd4b-f81c081a3177,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,Denver,France
34a74ce5-22ed-48fb-85b3-84b418deed3e,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Houston,Netherlands
8d50d9f4-2e96-43a2-bcde-ead5d823351d,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,San Jose,Canada
760d96ef-6502-475b-8108-6637b337e354,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",Phoenix,Canada
e3db148f-89fb-4d9c-8d71-8692baaa228b,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,Boston,Brazil
f177e18f-90d5-489e-8661-bc601c092898,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Philadelphia,United States
72572ae6-2a3f-4878-a1d5-504603244284,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,Chicago,Australia
9ad7fbbf-466c-4d1a-aa65-8e25234e9c09,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,Jacksonville,Brazil
c8340bb7-1a77-4e4f-89c7-ffdc7633c49a,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",Boston,Australia
1db6cb09-5820-4b6f-af93-d884320aa3f2,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Nashville,Germany
732d761a-f549-4db4-ab18-a78d3fd88ba7,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Los Angeles,Japan
61b165e2-8a3a-4ef8-8022-bdd23ad9fd43,Combines premium materials with practical features for daily use.,Designed for everyday use with reliable performance and clean design.,San Antonio,Germany
55a10ee1-8c76-4f93-b763-de4dfddb7aac,Designed for everyday use with reliable performance and clean design.,Combines premium materials with practical features for daily use.,Houston,Brazil
cb21f107-ffe3-4ef8-a7ae-add128ae6c42,"Built for teams that want quality, durability, and fast setup.",Designed for everyday use with reliable performance and clean design.,San Antonio,India
5c93bd5a-7ece-49f2-ac45-c9312600d06a,"Built for teams that want quality, durability, and fast setup.",Designed for everyday use with reliable performance and clean design.,Austin,United States
c360fd94-ea3f-41a8-94fa-3e3f5447ec32,"Built for teams that want quality, durability, and fast setup.","A customer favorite for comfort, performance, and long-term value.",Philadelphia,Australia
ec4b65b6-0ed6-47ca-8c16-e1d534d4df14,"A customer favorite for comfort, performance, and long-term value. variant 1",Combines premium materials with practical features for daily use.,Los Angeles,United States
a7d0ddd3-4ac6-4de2-bfce-59615277c53d,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",Austin,Netherlands
68491d00-e71e-4167-98c2-c148dffcc413,Combines premium materials with practical features for daily use.,Designed for everyday use with reliable performance and clean design.,Los Angeles,France
7d865575-83fa-4e18-99f5-6c04f82875d3,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,Phoenix,Germany
f654df82-a4ad-4c9a-9f18-7fbffefc3535,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",New York,India
540c7475-52cb-45cc-afbc-79e7bfae88ec,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Los Angeles,France
00621af1-d09f-45a5-b4bc-a6227289cd72,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Dallas,Canada
fd46ef8a-aa63-4ed8-bb10-86e4cf602ce3,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Boston,Canada
a1cda1d0-40da-4fa7-9e66-294c8db0e965,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,Seattle,India
171658d2-0e94-4ecc-9c2c-5bebc1a5bbf2,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,Los Angeles,Canada
e1f5d0da-fcb7-49c0-a810-2e938b83f79d,Combines premium materials with practical features for daily use.,Designed for everyday use with reliable performance and clean design.,New York,Brazil
e9202ebe-2a00-4316-81f7-a21d4b70f3bc,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,San Antonio,United Kingdom
2fded1d6-5cad-424d-ad2c-59bb04c3e108,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Columbus,Japan
150e56f0-9fe7-4523-a325-9506adb75b45,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Charlotte,Germany
e84c67bc-fa34-4b65-87bb-473cad08d502,"Built for teams that want quality, durability, and fast setup.","A customer favorite for comfort, performance, and long-term value.",Denver,Australia
5982591f-759e-4f82-8ac0-186ba4e10187,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,San Antonio,United Kingdom
a249bef2-1f10-4e58-b96e-0fd5de5b3daf,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Houston,Germany
0d44da34-b45f-440b-b159-c6007a8e7903,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",New York,Brazil
0ddf2670-76ab-4112-bff0-59fa916cc769,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Chicago,Canada
